name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Sporosarcina sp. Te-1	2818390	S	1	0	1	0.00001
Enterococcus faecium	1352	S	2	0	2	0.00001
Enterococcus faecalis	1351	S	1	0	1	0.00001
Enterococcus saigonensis	1805431	S	1	0	1	0.00001
Enterococcus lactis	357441	S	1	1	2	0.00001
Tetragenococcus osmophilus	526944	S	1	0	1	0.00001
Streptococcus suis	1307	S	2	0	2	0.00001
Streptococcus pneumoniae	1313	S	1	0	1	0.00001
Streptococcus pyogenes	1314	S	1	0	1	0.00001
Lentilactobacillus hilgardii	1588	S	2	0	2	0.00001
Limosilactobacillus fermentum	1613	S	1	0	1	0.00001
Levilactobacillus brevis	1580	S	1	0	1	0.00001
Blautia hansenii	1322	S	1	0	1	0.00001
Butyrivibrio fibrisolvens	831	S	1	0	1	0.00001
Clostridium tetani	1513	S	1	0	1	0.00001
Mycobacterium avium	1764	S	1	0	1	0.00001
Mycobacteroides abscessus	36809	S	1	0	1	0.00001
Mycolicibacter sp. MYC340	2855503	S	1	0	1	0.00001
Mycolicibacterium austroafricanum	39687	S	1	0	1	0.00001
Cutibacterium acnes	1747	S	2	0	2	0.00001
Streptomyces armeniacus	83291	S	2	0	2	0.00001
Bifidobacterium longum	216816	S	1	0	1	0.00001
Arthrobacter sp. ATA002	2991715	S	1	0	1	0.00001
Candidatus Phytoplasma luffae	35773	S	1	0	1	0.00001
Alteracholeplasma palmae	38986	S	1	0	1	0.00001
Moorena producens	1155739	S	1	0	1	0.00001
Crinalium epipsammum	241425	S	1	0	1	0.00001
Salmonella enterica	28901	S	7	31	38	0.00019
Klebsiella variicola	244366	S	1	1	2	0.00001
Escherichia coli	562	S	1	1	2	0.00001
Cronobacter sakazakii	28141	S	1	0	1	0.00001
Serratia sp. 3ACOL1	2448483	S	4	0	4	0.00002
Aeromonas sp. Ne-1	1675689	S	5	2	7	0.00004
[Haemophilus] ducreyi	730	S	4	0	4	0.00002
Pseudomonas fluorescens	294	S	2	0	2	0.00001
Acinetobacter bouvetii	202951	S	1	0	1	0.00001
Acinetobacter vivianii	1776742	S	1	0	1	0.00001
Pseudoalteromonas sp. Scap06	2589991	S	1	2	3	0.00002
Pseudoalteromonas sp. Scap25	2589992	S	1	2	3	0.00002
Legionella israelensis	454	S	1	0	1	0.00001
Vibrio sp. Scap24	2589990	S	1	0	1	0.00001
Xanthobacter autotrophicus	280	S	10	0	10	0.00005
Bartonella krasnovii	2267275	S	9	0	9	0.00005
Burkholderia dolosa	152500	S	7	4	11	0.00006
Cupriavidus taiwanensis	164546	S	1	0	1	0.00001
Neisseria gonorrhoeae	485	S	2	0	2	0.00001
Bacteroides fragilis	817	S	5	0	5	0.00003
Bacteroides thetaiotaomicron	818	S	4	0	4	0.00002
Bacteroides sp. DH3716P	2847299	S	2	0	2	0.00001
Bacteroides salyersiae	291644	S	1	0	1	0.00001
Bacteroides uniformis	820	S	1	0	1	0.00001
Maribellus comscasis	2681766	S	2	0	2	0.00001
Flavobacterium columnare	996	S	1	0	1	0.00001
Flavobacterium psychrophilum	96345	S	1	0	1	0.00001
Tamlana carrageenivorans	2069432	S	1	0	1	0.00001
Nonlabens ponticola	2496866	S	1	0	1	0.00001
Gramella fulva	2126553	S	1	0	1	0.00001
Spirosoma taeanense	2735870	S	1	0	1	0.00001
Cyclobacterium amurskyense	320787	S	1	0	1	0.00001
Helicobacter canadensis	123841	S	3	0	3	0.00002
Helicobacter cinaedi	213	S	1	0	1	0.00001
Aliarcobacter faecis	1564138	S	1	0	1	0.00001
Bdellovibrio bacteriovorus	959	S	1	0	1	0.00001
Micavibrio aeruginosavorus	349221	S	1	0	1	0.00001
Treponema pallidum	160	S	1	0	1	0.00001
Desulfovibrio fairfieldensis	44742	S	1	0	1	0.00001
Homo sapiens	9606	S	47	0	47	0.00024
Sulfolobus acidocaldarius	2285	S	2	0	2	0.00001
Saccharolobus shibatae	2286	S	2	0	2	0.00001
Biseptimavirus bv23MRA	2846248	S	17	400	417	0.00210
Biseptimavirus IME136101	2846260	S	10	2522	2532	0.01274
Biseptimavirus bv77	259901	S	1	13	14	0.00007
Triavirus tp3102	2846382	S	4	118	122	0.00061
Triavirus SLT	130478	S	3	22	25	0.00013
Streptococcus phage CHPC1062	2365021	S	2	6	8	0.00004
Phietavirus pv96	320842	S	1	10	11	0.00006
Tequatrovirus kaw	2844208	S	1	0	1	0.00001
Alphapapillomavirus 10	333754	S	2	0	2	0.00001
